group,candidate,species,reactions,fuel_observable,count,success,E_full_group,E_success_subset
Kimi 专家 Solo,candidate_2,62,370,ch3oh/laminar_flame_speed,12,12,3.7575141140655552,3.7575141140655552
Kimi 专家 Solo,candidate_2,62,370,ch4/ignition_delay,35,35,3.407769592615692,3.407769592615692
Kimi 专家 Solo,candidate_2,62,370,ch4/laminar_flame_speed,13,13,1.8037847565320757,1.8037847565320757
Kimi 专家 Solo,candidate_2,62,370,h2/laminar_flame_speed,21,21,3.559187314244418,3.559187314244418
Kimi 专家 Solo,candidate_2,62,370,h2plusco/laminar_flame_speed,12,12,2.0456458166380904,2.0456458166380904
Kimi 专家 Solo,candidate_2,62,370,ic4h10/laminar_flame_speed,4,0,,
Kimi 专家 Solo,candidate_2,62,370,ic4h8/ignition_delay,28,28,4.889704770613917,4.889704770613917
Kimi 专家 Solo,candidate_2,62,370,ic4h8/laminar_flame_speed,18,18,2.155689473215609,2.155689473215609
Kimi 专家 Solo,candidate_2,62,370,pc3h4/ignition_delay,26,26,1.5826992290338235,1.5826992290338235
Kimi 专家 Solo,candidate_3,49,290,ac3h4/ignition_delay,20,20,2.1775577127668067,2.1775577127668067
Kimi 专家 Solo,candidate_3,49,290,c2h2/ignition_delay,9,9,20.264713027006234,20.264713027006234
Kimi 专家 Solo,candidate_3,49,290,c2h2/laminar_flame_speed,12,12,2.21377085383976,2.21377085383976
Kimi 专家 Solo,candidate_3,49,290,c2h4/ignition_delay,38,38,3.348070179082466,3.348070179082466
Kimi 专家 Solo,candidate_3,49,290,c2h4/laminar_flame_speed,33,33,1.8092183688368977,1.8092183688368977
Kimi 专家 Solo,candidate_3,49,290,c2h6/ignition_delay,42,42,3.8720172697015904,3.8720172697015904
Kimi 专家 Solo,candidate_3,49,290,c2h6/laminar_flame_speed,55,55,1.8012415748728388,1.8012415748728388
Kimi 专家 Solo,candidate_3,49,290,c3h6/ignition_delay,25,0,,
Kimi 专家 Solo,candidate_3,49,290,c3h6/laminar_flame_speed,28,0,,
Kimi 专家 Solo,candidate_3,49,290,c3h8/ignition_delay,46,0,,
Kimi 专家 Solo,candidate_3,49,290,c3h8/laminar_flame_speed,21,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h10/ignition_delay,4,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h10/laminar_flame_speed,9,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h6/ignition_delay,24,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h6/laminar_flame_speed,21,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h81/ignition_delay,15,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h81/laminar_flame_speed,9,0,,
Kimi 专家 Solo,candidate_3,49,290,c4h82/laminar_flame_speed,7,0,,
Kimi 专家 Solo,candidate_3,49,290,ch3cho/laminar_flame_speed,15,15,1.6706022549365507,1.6706022549365507
Kimi 专家 Solo,candidate_3,49,290,ch3oh/ignition_delay,8,0,,
Kimi 专家 Solo,candidate_3,49,290,ch3oh/laminar_flame_speed,12,0,,
Kimi 专家 Solo,candidate_3,49,290,ch4/ignition_delay,35,35,3.3360904117977834,3.3360904117977834
Kimi 专家 Solo,candidate_3,49,290,ch4/laminar_flame_speed,13,13,1.8906478508153222,1.8906478508153222
Kimi 专家 Solo,candidate_3,49,290,h2/laminar_flame_speed,21,21,3.5591842392459783,3.5591842392459783
Kimi 专家 Solo,candidate_3,49,290,h2plusco/laminar_flame_speed,12,12,2.0455581174283286,2.0455581174283286
Kimi 专家 Solo,candidate_3,49,290,ic4h10/laminar_flame_speed,4,0,,
